"module_name","Calendar Type","Credits"
"ECN306 Game Theory for Economists","Autumn Semester","20"
"ECN31001 Behavioural Economics","Spring Semester","20"
"ECN31002 Economics of Race and Gender","Autumn Semester","20"
"ECN31003 Econometrics","Autumn Semester","20"
"ECN314 Industrial Organisation","Spring Semester","20"
"ECN315 Labour Economics","Autumn Semester","20"
"ECN321 International Trade","Spring Semester","20"
"ECN324 Monetary Economics","Autumn Semester","20"
"ECN331 Economics Undergraduate Dissertation 1","Autumn Semester","20"
"ECN332 Economics Undergraduate Dissertation 2","Spring Semester","20"
"ECN340 Further Econometrics","Autumn Semester","20"
"ECN346 Development Economics","Spring Semester","20"
"FCE6100 Professional Behaviour and Ethical Conduct","Graduate Year","0"
"CPE427 Study Year in Australasia","Academic year","120"
"CPE440 Research Project","Academic year","45"
"CPE441 Particle Design and Processing","Spring Semester","15"
"CPE442 Biopharmaceutical Engineering","Spring Semester","15"
"CPE443 Synthetic Biology","Spring Semester","15"
"CPE444 Petroleum Engineering","Spring Semester","15"
"CPE449 Nuclear Reactor Engineering","Spring Semester","15"
"CPE450 Advanced Process Modelling, Simulation and Optimisation","Autumn Semester","15"
"CPE451 Low Carbon Energy Science and Technology","Spring Semester","15"
"CPE460 Computational Modelling","Autumn Semester","15"
"CPE465 Energy Systems and Management","Spring Semester","15"
"CPE6000 Low Carbon Energy Science and Technology","Spring Semester","15"
"CPE6010 Research Project","Graduate Year","60"
"CPE6011 Research Project","Graduate Year","60"
"CPE6021 Continuous Manufacturing Technology: PAT and Process Optimisation","Autumn Semester","15"
"CPE6023 Synthetic Biology","Spring Semester","15"
"CPE6027 Advanced Bioprocess Design Project","Academic year","15"
"CPE6028 Advanced Biochemical Engineering","Autumn Semester","15"
"CPE6029 Research Project","Graduate Year","60"
"GEE101 Interdisciplinary Design I","Academic year","15"
"GEE102 Introduction to Electrical Engineering","Academic year","15"
"GEE104 Thermofluids","Academic year","15"
"GEE105 Introduction to Materials Science and Engineering","Autumn Semester","15"
"GEE201 Interdisciplinary Design II","Academic year","15"
"GEE204 Thermal & Fluid Engineering","Autumn Semester","15"
"GEE205 Systems and Control","Academic year","15"
"GEE207 Mechanics of Structures","Academic year","15"
"GEE301 Interdisciplinary Group Design Project","Academic year","30"
"GEE302 Individual Investigative Project","Academic year","30"
"GEE303 Engineering Year in Industry","Academic year","120"
"GEE401 Individual Advanced Project","Academic year","45"
"LIT113 Foundations in Literary Study: Biblical and Classical Sources in English Literature","Autumn Semester","20"
"LIT114 Shakespeare","Spring Semester","20"
"LIT117 Contemporary Literature","Autumn Semester","20"
"LIT120 Renaissance to Revolution","Academic year","40"
"LIT180 Studying Theatre: A History of Dramatic Texts in Performance","Autumn Semester","20"
"LIT181 Introduction to Cinema","Spring Semester","20"
"LIT2004 Satire and Print in the Eighteenth Century","Spring Semester","20"
"LIT217 European Gothic","Spring Semester","20"
"LIT219 Creative Writing Poetry 2","Spring Semester","20"
"LIT226 The Novella and the Uncanny","Autumn Semester","20"
"LIT233 Road Journeys in American Culture: 1930-2000","Spring Semester","20"
"LIT271 Radical Theory","Spring Semester","20"
"LIT276 New Realisms: Contemporary British Cinema","Autumn Semester","20"
"LIT277 Chaucer","Autumn Semester","20"
"LIT3015 Writing Fiction 3","Spring Semester","20"
"LIT302 Modern Literature","Spring Semester","20"
"LIT303 Contemporary Literature","Spring Semester","20"
"LIT3048 Women Playwrights on the International Stage: 1880s-1930s","Spring Semester","20"
"LIT305 Afro-American Literature 1: Beginnings to the Harlem Renaissance","Autumn Semester","20"
"LIT3050 No Animals were Harmed in the Making of this Module: Animals in Film","Autumn Semester","20"
"EAS1035 Japanese Language 2A","Spring Semester","20"
"EAS1036 Japanese Language 2B","Spring Semester","10"
"EAS1042 Understanding Korea 2","Spring Semester","20"
"EAS1043 Korean Language 1A","Autumn Semester","20"
"EAS1044 Korean Language 1B","Autumn Semester","10"
"EAS1045 Korean Language 2A","Spring Semester","20"
"EAS1046 Korean Language 2B","Spring Semester","10"
"EAS1081 Japanese for Non-Specialists 1","Autumn Semester","10"
"EAS1082 Japanese for Non-Specialists 2","Spring Semester","10"
"EAS1098 Korea Year Abroad","Academic year","120"
"EAS1099 China Year Abroad","Academic year","120"
"EAS118 Chinese for Non-Specialists I","Autumn Semester","10"
"EAS119 Chinese for Non-Specialists II","Spring Semester","10"
"EAS171 Korean for Non-Specialists 1","Autumn Semester","10"
"EAS172 Korean for Non-Specialists 2","Spring Semester","10"
"EAS2000 East Asian Fieldwork","Spring Semester","20"
"EAS2011 East Asian Cinema","Spring Semester","20"
"EAS2021 Chinese Business and Management","Autumn Semester","20"
"EAS2023 Modern Chinese History: Beyond Revolution","Spring Semester","20"
"EAS2031 Postwar Japanese Politics","Spring Semester","20"
"EAS2032 Contemporary Japanese Society","Autumn Semester","20"
"EAS2034 Modern Japanese History","Spring Semester","20"
"EAS2035 Japanese Language 3A","Autumn Semester","20"
"EAS2036 Japanese Language 3B","Autumn Semester","10"
"EAS2037 Japanese Language 4A","Spring Semester","20"
"DEN607 Introduction to Digital Dentistry and Dental Manufacturing","Spring Semester","15"
"DEN608 Dental Laboratory Governance","Autumn Semester","15"
"DEN610 Health and Social Justice","Academic year","15"
"DEN61002 Clinical Practice - TOP Surgical Implant Placement","Academic year","30"
"DEN61003 Clinical Practice - TOP Periodontics & Implant Restoration","Academic year","30"
"DEN61004 Clinical Practice - TOP Prosthodontics & Implant Restoration","Academic year","30"
"DEN61005 Clinical Practice Programme ¿ Implant MDT and Implant Maintenance","Academic year","30"
"DEN61006 Clinical Practice - New Patient Clinics","Academic year","30"
"DEN61007 Specialty Programme: Dento-alveolar surgery","Autumn Semester","10"
"DEN61008 Specialty Programme & Teaching: Implantology","Academic year","30"
"DEN61009 Specialty Programme & Teaching: Periodontics","Academic year","20"
"DEN61010 Specialty Programme & Teaching: Prosthodontics","Academic year","20"
"DEN611 Principles of Clinical Orthodontic Practice I","Academic year","30"
"DEN612 Clinical Orthodontic Practice Programme I","Academic year","90"
"DEN613 Clinical Orthodontic Practice Programme II","Academic year","90"
"DEN614 Clinical Orthodontic Practice Programme III","Academic year","90"
"DEN615 Orthodontic Thesis","Spring Semester","90"
"DEN616 Tissue Engineering and Regenerative Dentistry","Spring Semester","15"
"DEN617 Managing Social Change","Academic year","30"
"DEN618 Dental Public Health: International Practice","Academic year","60"
"DEN619 Fieldwork Research Project","Academic year","90"
"DEN622 Dental Technology I","Autumn Semester","15"
"DEN623 Dental Technology II","Spring Semester","30"
"EDU207 Dimensions of Education Policy","Spring Semester","20"
"EDU209 Critical Issues in Teaching","Autumn Semester","20"
"EDU303 Dissertation","Academic year","40"
"EDU304 Education@Sheffield","Spring Semester","20"
"EDU306 What is Learning?","Autumn Semester","20"
"EDU309 Globalising Education","Spring Semester","20"
"EDU310 Philosophies of Education","Autumn Semester","20"
"EDU311 Psychoanalytic Perspectives of Infancy and Childhood","Autumn Semester","20"
"EDU413 Module B: Curriculum and Programme Development","Graduate Year","15"
"EDU6043 Dissertation","Graduate Year","60"
"EDU6089 Early Childhood 1:  Development, Learning and Curriculum","Autumn Semester","30"
"EDU6099 Early Childhood 2: Contemporary Issues in Early Childhood Education","Spring Semester","30"
"EDU61002 Digital Culture and Childhoods","Autumn Semester","30"
"EDU61003 Digital Literacies in Education","Autumn Semester","30"
"EDU61004 Media Making and Creativity","Spring Semester","30"
"EDU61005 Researching Digital Childhoods","Spring Semester","30"
"EDU61006 Dissertation","Graduate Year","60"
"EDU6147 Module A: Students and the Learning Environment","Graduate Year","15"
"EDU6148 Curriculum and Programme Development","Graduate Year","15"
"EDU6149 Engaging with Learning and Teaching Scholarship","Graduate Year","30"
"EDU6156 Doctoral Training in Education","Graduate Year","15"
"EDU6157 Critical Reflection on Pedagogic Practice","Graduate Year","30"
"EDU6159 Practitioner Research Project","Graduate Year","30"
"EEE218 Electric Circuits","Autumn Semester","10"
"EEE221 Industrial Project","Autumn Semester","10"
"EEE223 Electrical Energy Management and Conversion","Academic year","20"
"EEE224 Communication Electronics","Academic year","20"
"EEE225 Analogue and Digital Electronics","Academic year","20"
"EEE226 Engineering Software Design","Academic year","10"
"EEE227 Communication Electronics","Academic year","20"
"EEE228 Design Project","Spring Semester","10"
"EEE229 Electrical Energy and Conversion","Academic year","30"
"EEE230 Electronic Circuits","Spring Semester","10"
"EEE231 Software Engineering","Academic year","20"
"EEE232 HDL-Based Design & Programmable Logic","Spring Semester","10"
"EEE301 Power Systems Engineering","Spring Semester","10"
"EEE305 Machine Design","Spring Semester","10"
"EEE307 Power Electronics","Spring Semester","10"
"EEE309 Introduction to Digital Signal Processing","Spring Semester","10"
"EEE317 Principles of Communications","Autumn Semester","10"
"EEE334 Antennas, Radar and Navigation","Spring Semester","10"
"EEE335 Integrated Electronics","Autumn Semester","10"
"EEE336 Digital Design","Autumn Semester","10"
"EEE337 Semiconductor Electronics","Spring Semester","10"
"APS341 Evolution of Terrestrial Ecosystems","Autumn Semester","10"
"APS342 Evolutionary Ecology","Autumn Semester","10"
"APS344 Topics in Evolutionary Genetics","Spring Semester","10"
"APS345 Research Project","Spring Semester","30"
"APS346 Sustainable Agro-Ecosystems","Autumn Semester","10"
"APS347 Conflict and Cooperation","Autumn Semester","20"
"APS348 The Ecology of Landscapes","Spring Semester","10"
"APS349 Conservation Issues and Management","Autumn Semester","20"
"APS351 Human Evolutionary Genetics","Spring Semester","10"
"APS355 Future Plants: From Laboratory to Field","Spring Semester","10"
"APS357 Cooperation and Conflict","Autumn Semester","10"
"APS358 Topics in Modern Ecology","Spring Semester","10"
"APS359 Topics in Modern Zoology","Spring Semester","10"
"APS6001 Engaging with the Public","Academic year","15"
"APS6003 Project Dissertation","Academic year","60"
"APS6004 Communication Skills","Academic year","15"
"APS6010 Student Specific Research Training: Laboratory and Field Techniques and Safety","Graduate Year","5"
"APS6020 Student Specific Research Training: General Research Skills","Autumn Semester","10"
"APS603 Global Conservation Issues","Autumn Semester","15"
"COM4501 Computer Security and Forensics","Spring Semester","15"
"COM4502 Speech Processing","Autumn Semester","15"
"COM4503 3D Computer Graphics","Autumn Semester","15"
"COM4506 Testing and verification in safety-critical systems","Autumn Semester","15"
"COM4507 Software and Hardware Verification","Spring Semester","15"
"COM4509 Machine Learning and Adaptive Intelligence","Autumn Semester","15"
"COM4510 Software development for mobile devices","Autumn Semester","15"
"COM4511 Speech Technology","Spring Semester","15"
"COM4513 Natural Language Processing","Spring Semester","15"
"COM4515 Network Performance Analysis","Spring Semester","15"
"COM4520 Darwin Project","Academic year","30"
"COM4521 Parallel Computing with Graphical Processing Units (GPUs)","Spring Semester","15"
"COM4525 Genesys","Academic year","45"
"COM6009 Modelling and Simulation of Natural Systems","Spring Semester","15"
"COM6012 Scalable Machine Learning","Spring Semester","15"
"COM6013 Cybersecurity and AI Dissertation Project","Spring Semester","60"
"COM6014 Fundamental Security Properties and Mechanisms","Autumn Semester","15"
"CIV4009 Independent Research Project for Structural Engineering And Architecture","Academic year","30"
"CIV4012 Thermodynamics for Buildings","Autumn Semester","15"
"CIV4017 Computational Fluid Dynamics","Spring Semester","15"
"CIV4025 Thermodynamics for Buildings and Cities","Autumn Semester","10"
"CIV4136 Computational Structural Analysis","Autumn Semester","10"
"CIV4181 Structural Dynamics and Applications to Vibration Design","Autumn Semester","15"
"CIV4210 Integrated Design Project - Concept Design Stage","Spring Semester","25"
"FRE21001 Writing the French Revolution","Autumn Semester","20"
"FRE21003 Translation in Theoretical Context","Academic year","20"
"FRE297 Minorités et Identités dans la France du XXe siècle I","Autumn Semester","10"
"FRE298 Minorités et Identités dans la France du XXe siècle II","Spring Semester","10"
"FRE3001 Littérature moderne: thèmes et idées I","Autumn Semester","10"
"FRE3002 Littérature moderne: thèmes et idées II","Spring Semester","10"
"FRE3004 Realities and Falsehoods: The French Occupation in Literature and Film II","Spring Semester","10"
"FRE305 Film Studies I","Spring Semester","10"
"FRE306 Film Studies II","Spring Semester","10"
"FRE341 Gender, Society and Economy in France I","Autumn Semester","10"
"FRE342 Gender, Society and Economy in France II","Spring Semester","10"
"FRE371 Literature and Politics of the 'Post-Colonial' I","Autumn Semester","10"
"FRE372 Literature and Politics of the 'Post(-)colonial' I","Spring Semester","10"
"FRE3900 French Year Abroad","Autumn Semester","40"
"FRE3901 French Year Abroad","Spring Semester","40"
"FRE397 Haïti : La Tragédie (Histoire, politique et littérature de l'époque coloniale à nos jours)","Autumn Semester","10"
"FRE398 Haïti : La Tragédie (Histoire, politique et littérature de l'époque coloniale à nos jours)","Spring Semester","10"
"FRE613 French Cultural Studies: II (Mundus)","Spring Semester","20"
"GEO11002 Global Biogeochemical Cycles","Autumn Semester","10"
"GEO11003 Living with Environmental Change","Academic year","20"
"GEO11004 Why Geography Matters","Academic year","20"
"GEO11005 Geographical Skills, Methods and Techniques","Academic year","40"
"GEO113 Earth, Wind, Ice and Fire","Academic year","20"
"GEO114 Exploring Human Geographies","Academic year","20"
"GEO21007 Territory, Power and Policy","Spring Semester","20"
"GEO21008 Who Gets What? Social Justice and the Environment","Spring Semester","20"
"GEO21009 Analysing Voice, Image and Text","Autumn Semester","10"
"GEO21010 Sustainable Development and Global Justice","Autumn Semester","20"
"GEO21011 Understanding the Climate System","Autumn Semester","20"
"GEO21012 Unlocking Past Environmental Changes","Spring Semester","20"
"GEO21013 GIS and Earth Observation","Autumn Semester","10"
"GEO21014 Glacial Processes and Hazards","Spring Semester","20"
"GEO21015 Culture, Space and Difference","Autumn Semester","20"
"GER235 Luxembourgish Language and Culture","Academic year","20"
"GER263 German Culture and Ideas from the Enlightenment to the Present Day","Academic year","20"
"GER263 German Culture and Ideas from the Enlightenment to the Present Day","Autumn Semester","20"
"GER264 German Culture and Ideas from the Enlightenment to the Present Day","Autumn Semester","10"
"GER314 Literature, Culture & Society in Dutch II","Autumn Semester","10"
"GER322 Dutch Language and Culture for Specialists","Academic year","20"
"GER323 Luxembourgish Language and Culture","Academic year","20"
"GER324 Advanced Luxembourgish Language and Culture","Academic year","20"
"GER325 Dutch Level - 3 Project","Autumn Semester","10"
"GER333 Dutch Intermediate","Academic year","20"
"GER3900 Germanic Studies Year Abroad","Autumn Semester","40"
"GER3901 Germanic Studies Year Abroad","Spring Semester","40"
"GER6261 Approaches to 20th Century German Literary Writing (MUNDUS)","Graduate Year","20"
"CBE6191 Marketing of Health Care Organisations (Online)","Spring Semester","15"
"CBE6192 Strategic Management (Online)","Spring Semester","15"
"CBE6195 Foundations of Leadership & Teamwork (Online)","Spring Semester","15"
"HAR6016 Sociology of Health and Illness","Spring Semester","15"
"HAR6021 Health Promotion","Spring Semester","15"
"HAR6024 Dissertation","Graduate Year","60"
"HAR6030 Introduction to Research Methods","Autumn Semester","15"
"HAR6035 Introduction to Statistics and Critical Appraisal","Autumn Semester","15"
"HAR6041 Health Needs Assessment, Planning and Evaluation","Autumn Semester","15"
"HAR6042 Introduction to Statistics and Critical Appraisal Online","Spring Semester","15"
"HAR6045 Further Statistics for Health Science Researchers","Spring Semester","15"
"HAR6049 Using Policy to Strengthen Health Systems Online","Spring Semester","15"
"HAR6051 Practical Aspects of Clinical Research","Academic year","30"
"HAR6053 Dissertation Online","Graduate Year","60"
"HAR6061 Further Statistics for Health Science Researchers Online","Spring Semester","15"
"HAR6064 Knowledge Mobilisation in Healthcare","Autumn Semester","15"
"HAR61001 International Health Technology Assessment and Reimbursement Real World Case Studies","Spring Semester","15"
"HAR61002 Health Promotion - online","Spring Semester","15"
"HAR61003 Dissertation (MSc Statistics with Medical Applications)","Graduate Year","60"
"HSS228 Promised Lands","Autumn Semester","20"
"HSS236 Hispanic Film","Academic year","20"
"HSS237 Nation and Identity in the Lusophone World","Academic year","20"
"HSS3000 Adaptations and Transformation","Academic year","20"
"HSS3001 Civilisation and Barbarism in Latin America","Academic year","20"
"HSS3009 Gender and Sexuality in the Hispanic World","Academic year","20"
"HSS3013 Political Culture in the Hispanic World","Academic year","20"
"HSS331 Advanced Spanish Language IV","Spring Semester","10"
"HSS3900 Hispanic Studies Year Abroad","Autumn Semester","40"
"HSS3901 Hispanic Studies Year Abroad","Spring Semester","40"
"HSS6013 Political Culture in the Hispanic World (MUNDUS)","Spring Semester","20"
"HSS6071 Dictatorship, Revolution and Resistance (MUNDUS)","Spring Semester","20"
"HSS6112 Spanish-American Literature and Society II (MUNDUS)","Spring Semester","20"
"HSS6121 Spanish-American Literature and Society II (MUNDUS)","Spring Semester","20"
"HSS6141 Popular Culture in Latin America (MUNDUS)","Spring Semester","20"
"HSS6260 Catalan Culture and Literature (MUNDUS)","Spring Semester","20"
"ELT6050 Thesis Writing: Principles and Practice","Spring Semester","5"
"ELT6051 Academic Writing for PhD Candidates","Autumn Semester","0"
"ELT6051 Academic Writing for PhD Candidates","Spring Semester","0"
"ELT6052 On-line Thesis Writing Course","Autumn Semester","0"
"ELT6052 On-line Thesis Writing Course","Spring Semester","0"
"ELT6060 Speaking Skills for Research Purposes","Autumn Semester","5"
"ELT6060 Speaking Skills for Research Purposes","Spring Semester","5"
"ELT81002 Writing your PhD Literature Review","Autumn Semester","0"
"ELT81002 Writing your PhD Literature Review","Spring Semester","0"
"ELT81004 Thesis Writing: Principles and Practice","Autumn Semester","0"
"ELT81004 Thesis Writing: Principles and Practice","Spring Semester","0"
"ELL354 Advanced Phonetics","Spring Semester","20"
"ELL361 Advanced Syntax","Autumn Semester","20"
"ELL362 World Englishes","Spring Semester","20"
"ELL6021 TESOL Practice","Spring Semester","15"
"ELL6199 English Around the World","Spring Semester","15"
"ELL624 Teaching Writing in TESOL","Autumn Semester","15"
"ELL629 Vocabulary: Learning, Teaching and Testing","Spring Semester","15"
"ELL636 Curriculum, Materials and Test Design","Spring Semester","15"
"ELL6360 Introduction to Language and Linguistics","Autumn Semester","15"
"ELL6401 English Grammar","Autumn Semester","15"
"ELL6402 Language Teaching Methodology","Autumn Semester","15"
"ELL6403 Research Methods","Autumn Semester","15"
"ELL6409 Teaching English for Specific Purposes","Spring Semester","15"
"ELL6413 Theory and Practice of Language Teaching","Spring Semester","15"
"ELL6415 Introduction to Second Language Acquisition","Autumn Semester","15"
"ELL6421 Discourse and Genre Analysis","Spring Semester","15"
"ACE0349E Extended Project (EDU)","Academic year","20"
"ACE0349E Extended Project (EDU)","Spring Semester","20"
"ACE0349F Extended Project (HST)","Academic year","20"
"ACE0349F Extended Project (HST)","Spring Semester","20"
"ACE0349G Extended Project (GEO)","Spring Semester","20"
"ACE0349H Extended Project (HCS)","Spring Semester","20"
"ACE0349J Extended Project (JNL)","Spring Semester","20"
"ACE0349K Extended Project (POL)","Spring Semester","20"
"ACE0349L Extended Project (EGH)","Academic year","20"
"ACE0349L Extended Project (EGH)","Spring Semester","20"
"ACE0349M Extended Project (MGT)","Spring Semester","20"
"ACE0349P Extended Project (PHI)","Academic year","20"
"ACE0349P Extended Project (PHI)","Spring Semester","20"
"ACE0349Q Extended Project (PSY)","Spring Semester","20"
"ACE0349R Extended Project (OPH)","Spring Semester","20"
"ACE0349S Extended Project (SCS)","Spring Semester","20"
"ACE0349T Extended Project (TRP)","Spring Semester","20"
"ACE0349V Extended Project (SMI)","Academic year","20"
"ACE0349V Extended Project (SMI)","Spring Semester","20"
"ACE0349W Extended Project (MDL)","Spring Semester","20"
"ACE0349Y Extended Project (MUS)","Academic year","20"
"BMS6016 Anatomy of the Head, Neck and Brain","Spring Semester","45"
"BMS6017 Anatomy of the Trunk and Limbs","Autumn Semester","45"
"BMS6018 Curriculum and Programme Development","Spring Semester","15"
"BMS6051 Literature Review","Autumn Semester","30"
"BMS6053 Critical Analysis of Current Science","Academic year","15"
"BMS6054 Ethics and Public Awareness of Science","Autumn Semester","15"
"BMS6056 Stem Cell Biology","Spring Semester","15"
"BMS6057 Cancer Biology","Spring Semester","15"
"BMS6061 Membrane Receptors","Autumn Semester","15"
"BMS6062 Molecular Physiology of Ion Channels in Health and Disease","Autumn Semester","15"
"BMS6063 Epithelial Physiology in Health and Disease","Spring Semester","15"
"BMS6081 Human Embryonic Stem Culture Techniques","Spring Semester","15"
"BMS6082 Practical Cell Biology","Autumn Semester","15"
"BMS6083 Practical Developmental Genetics","Autumn Semester","15"
"BMS6084 Physiology and Pharmacology","Spring Semester","15"
"BMS61005 Research Project","Academic year","60"
"BMS61006 Research Project","Academic year","60"
"BMS6318 Neurodevelopment and Behaviour","Autumn Semester","15"
"BMS6329 Neuroscience Techniques","Spring Semester","15"
"BMS6335 Sensory Neuroscience","Spring Semester","15"
"BMS6336 Modelling Human Disease and Dysfunction","Autumn Semester","15"
"BMS6398 Principles of Regenerative Medicine and Tissue Engineering","Spring Semester","15"
"EGH304 Conversation Analysis","Spring Semester","20"
"EGH310 Psychology of Language","Autumn Semester","20"
"EGH31002 Creating Worlds in Performance and Literature","Spring Semester","20"
"EGH31003 Sociolinguistics Project","Autumn Semester","20"
"EGH31004 Language attitudes, perceptions and regard","Spring Semester","20"
"EGH31006 Life After Death? Romantic Poets and Writing the Afterlife","Spring Semester","20"
"EGH31007 The Beginning of the End of the World","Spring Semester","20"
"EGH31008 The Invention of Romanticism","Academic year","40"
"EGH31009 Renaissance Literature, Modern Crisis","Academic year","40"
"EGH31010 Research Topics in Theatre and Film","Academic year","40"
"EGH31011 Middlemarch","Autumn Semester","20"
"EGH31012 Mod Cons: Exploring the Long 20th Century","Academic year","40"
"EGH31013 Radical Theory","Spring Semester","20"
"EGH31014 Chaucer","Autumn Semester","20"
"EGH31015 Dissertation","Academic year","40"
"EGH31016 Exiles and Monsters: Reading Old English","Spring Semester","20"
"EGH31017 Constructed Languages","Spring Semester","20"
"EGH31018 The Idea of America","Spring Semester","20"
"EGH317 Investigating Real Readers","Autumn Semester","20"
"EGH319 Narrative Style in the Contemporary Novel","Spring Semester","20"
"EGH321 Dialect in Literature and Film","Autumn Semester","20"
"EGH325 Theolinguistics","Autumn Semester","20"
"EGH326 Text-Worlds","Autumn Semester","20"
"EGH327 School of English Year Abroad","Academic year","120"
"CHM6150 The Frontiers of Chemistry","Graduate Year","5"
"CHM6201 Polymer Characterization and Analysis","Autumn Semester","15"
"CHM6202 Design and Synthesis of Polymers of Controlled Structure","Spring Semester","15"
"CHM6204 Smart Polymers and Polymeric Materials","Spring Semester","15"
"CHM6301 Polymer Research Project","Spring Semester","60"
"CHM6401 Polymer Laboratory","Autumn Semester","15"
"CHM6403 Chemistry Projects","Academic year","25"
"CHM6404 Chemistry Research Project","Academic year","60"
"CHM6405 Chemistry Research Project","Academic year","120"
"ARC6989 Reflections on Architectural Design","Academic year","15"
"ARC6990 Sustainable Design Thesis Project","Academic year","60"
"ARC6991 Live Project 1","Academic year","15"
"ECN354 Health Economics","Autumn Semester","20"
"ECN357 Modern Finance","Spring Semester","20"
"ECN358 Economic Analysis of Inequality and Poverty","Autumn Semester","20"
"ECN602 Applied Macroeconometrics","Spring Semester","15"
"ECN603 Asset Pricing","Spring Semester","15"
"ECN604 Business Finance","Spring Semester","15"
"ECN605 International Trade","Spring Semester","15"
"ECN606 Public Economics","Spring Semester","15"
"ECN607 Public Policy Evaluation","Spring Semester","15"
"ECN6100 Doctoral Training in Economics","Academic year","15"
"ECN6105 Modern Finance","Autumn Semester","15"
"ECN6510 Microeconomic Analysis","Autumn Semester","15"
"ECN6520 Macroeconomic Analysis","Autumn Semester","15"
"ECN6540 Econometric Methods","Autumn Semester","15"
"ECN6570 Modern Theory of Banking and Finance","Autumn Semester","15"
"ECN6620 International Money and Finance","Spring Semester","15"
"ECN6650 Industrial Organisation","Spring Semester","15"
"ECN6660 Monetary Economics","Spring Semester","15"
"ECN6800 MSc Dissertation","Graduate Year","60"
"CPE6040 Science of Formulated Products","Autumn Semester","15"
"CPE6041 Particle Design and Processing","Spring Semester","15"
"CPE6043 Biopharmaceutical Manufacturing","Spring Semester","15"
"CPE6044 Biopharmaceutical Engineering","Spring Semester","15"
"CPE61010 Environmental Engineering","Spring Semester","15"
"CPE61011 Petroleum Engineering","Spring Semester","15"
"CPE61012 Energy Systems and Management","Spring Semester","15"
"CPE61014 Continuous Manufacturing Technology: PAT and Process Optimization (MEng)","Autumn Semester","15"
"CPE61016 Bioresources and Bioprocessing","Autumn Semester","15"
"CPE61017 Bioresources and Bioprocessing (PGT)","Autumn Semester","15"
"CPE61018 Process Design Project","Academic year","45"
"CPE61019 Process Safety in the Chemical, Pharma and Fine Chemicals Industry","Spring Semester","15"
"CPE61020 Hazards & Protections","Autumn Semester","15"
"CPE61021 Leadership and Management of Process Safety","Autumn Semester","15"
"CPE61022 Introduction to Process Safety and Loss Prevention","Autumn Semester","15"
"CPE61023 Electrochemical Engineering","Autumn Semester","15"
"CPE6116 Applied Biological and Bioprocess Engineering","Academic year","15"
"CPE6230 Major Hazards and Emergency Planning","Spring Semester","15"
"CPE6260 Human Behaviour and Human Error","Autumn Semester","15"
"CPE6280 Instrumented Systems and Functional Safety","Spring Semester","15"
"CPE6290 Nuclear Reactor Engineering","Spring Semester","15"
"CPE6300 Introduction to Fuels and Energy","Autumn Semester","15"
"CPE6311 Applied Energy Engineering","Autumn Semester","15"
"LIT3057 Fin de siècle Gothic","Spring Semester","20"
"LIT3058 Imagining the North","Spring Semester","20"
"LIT3061 Sex and Decadence in Restoration Theatre","Autumn Semester","20"
"LIT3066 Identity/ Crisis: Trauma, Narrative, Self","Spring Semester","20"
"LIT3100 Romantic and Victorian Poetry","Autumn Semester","20"
"LIT3101 Romantic and Victorian Prose","Autumn Semester","20"
"LIT386 Dissertation","Spring Semester","20"
"LIT6004 Teaching Practice","Autumn Semester","10"
"LIT6026 Early Modern Palaeography","Autumn Semester","15"
"LIT6041 Creative Writing: Fiction, Genre, Theory","Autumn Semester","30"
"LIT6042 Creative Writing: Prose Experiment, Prose Transformations","Spring Semester","30"
"LIT6043 Creative Writing: Poetry, Poetics, Fusion","Autumn Semester","30"
"LIT6044 Creative Writing: Poetry, Prose, Hybrid","Spring Semester","30"
"LIT6047 Early Modern Books","Autumn Semester","15"
"LIT631 Post-1945 British Drama, Film and Television","Spring Semester","30"
"LIT635 Confession","Spring Semester","30"
"LIT6360 Memory and Trauma in Contemporary Literature","Spring Semester","30"
"LIT645 Directed Reading (Early Modern Literature)","Spring Semester","30"
"LIT646 Renaissance Transformations","Autumn Semester","30"
"LIT650 Mid-Century Modernism","Spring Semester","30"
"LIT6560 Dissertation (MA in English Literature)","Spring Semester","60"
"LIT6590 Dissertation (MA Literature, Culture & Society: 1700-1900","Spring Semester","60"
"LIT665 Reimagining the eighteenth and nineteenth centuries.","Autumn Semester","30"
"EAS2038 Japanese Language 4B","Spring Semester","10"
"EAS2041 Understanding Contemporary North Korea","Autumn Semester","20"
"EAS2043 Contemporary Korean Society","Spring Semester","20"
"EAS2046 Korean Language 3B","Autumn Semester","10"
"EAS2047 Korean Language 4A","Spring Semester","20"
"EAS2048 Korean Language 4B","Spring Semester","10"
"EAS2081 Japanese for Non-Specialists 3","Autumn Semester","10"
"EAS2082  Japanese for Non-Specialists 4","Spring Semester","10"
"EAS2090 Japanese Year Abroad","Academic year","120"
"EAS21001 Korean for Non-Specialists 3","Autumn Semester","10"
"EAS21002 Korean for Non-Specialists 4","Spring Semester","10"
"EAS21003 Experiencing 'Japan' through Literary Texts","Spring Semester","20"
"EAS21004 Citizenship, Mobility and Belonging in Korea","Autumn Semester","20"
"EAS21005 Environment and Development of the Japanese Islands","Autumn Semester","20"
"EAS21006 History of Korean Popular Music","Autumn Semester","20"
"EAS21007 Mass Culture and Digital Society in East Asia","Academic year","20"
"EAS21008 Gender and Identities in East Asia","Academic year","20"
"EAS21009 Contemporary Chinese Society and Culture","Spring Semester","20"
"EAS21010 Korean Language 3A (Level 2)","Autumn Semester","20"
