"module_name","Calendar Type","Credits"
"AAP3003 Catastrophes and Climate Change: prehistory to Modernity","Spring Semester","20"
"AAP3006 Later Neolithic and Bronze Age Britain & Ireland","Spring Semester","20"
"AAP3007 Work Place Learning","Academic year","20"
"ACS11001 Digital and Embedded Systems","Autumn Semester","10"
"ACS11002 Group Control Project and Professional Skills","Spring Semester","10"
"ACS130 Introduction to Systems Engineering & Software","Academic year","20"
"ACS131 Systems Engineering Mathematics I","Academic year","20"
"ACS132 Modelling, Analysis and Control","Academic year","20"
"ACS1321 Introduction to Systems Analysis and Control","Academic year","15"
"ACS133 Physical Systems","Academic year","20"
"ACS219 Process Control","Autumn Semester","15"
"ACS230 Control Systems Design and Analysis","Academic year","20"
"ACS231 Mechatronics","Academic year","20"
"ACS232 Signals, Systems, and Communications","Academic year","20"
"ACS233 Systems Engineering and Object Oriented Programming","Academic year","20"
"ACS234 Systems Engineering Mathematics II","Academic year","20"
"ACS299 Study Abroad","Academic year","120"
"BIE103 Introduction to Bioengineering","Autumn Semester","10"
"BIE201 Advanced Bioengineering Topics","Spring Semester","10"
"BIE291 Biomedical Instrumentation","Spring Semester","10"
"BIE297 Bioengineering Study Abroad Year - Semester 1","Autumn Semester","60"
"BIE298 Bioengineering Study Abroad Year - Semester 2","Spring Semester","60"
"BIE3000 Bioengineering Research Project","Academic year","30"
"BIE308 Research Seminars in Bioengineering","Spring Semester","10"
"BIE3411 Design of Medical Devices and Implants","Spring Semester","10"
"BIE372 Group Project in Bioengineering","Academic year","20"
"BIE390 Bioengineering Year in Industry","Academic year","120"
"BIE61001 X-rays for Planar and Volumetric Imaging in Medicine","Spring Semester","15"
"BIE61002 Bioengineering Project and Dissertation","Graduate Year","60"
"BIE61003 Advanced Bioengineering Research Project","Academic year","45"
"BIE61004 Advanced Bioengineering Research Project","Academic year","45"
"BIE61005 Advanced Bioengineering Research Project","Academic year","45"
"ARC101 Communication 1","Autumn Semester","10"
"ARC102 Communication 2","Spring Semester","10"
"ARC103 Humanities 1","Autumn Semester","10"
"ARC104 Humanities 2","Spring Semester","10"
"ARC107 Environment and Technology 1","Autumn Semester","10"
"ARC108 Environment and Technology 2","Spring Semester","10"
"ARC125 Architectural Design 1","Autumn Semester","30"
"ARC126 Architectural Design 2","Spring Semester","30"
"ARC136 Architectural Design (Landscape) 2","Spring Semester","20"
"ARC202 Communication 4","Academic year","10"
"ARC203 Humanities 3","Autumn Semester","10"
"ARC204 Humanities 4","Spring Semester","10"
"ARC207 Environment and Technology 3","Autumn Semester","10"
"ARC208 Environment and Technology 4","Spring Semester","10"
"AAP3008 Athens and the Black Sea","Autumn Semester","20"
"AAP3009 Egypt in the age of empire","Autumn Semester","20"
"AAP3020 Professional Experience and Development","Academic year","0"
"AAP317 Archaeozoology","Spring Semester","20"
"AAP324 Rome: Capital, Hinterland and Periphery","Spring Semester","20"
"AAP6074 Mediterranean Landscapes","Spring Semester","15"
"AAP6084 Advanced Zooarchaeology","Spring Semester","15"
"AAP6097 GIS for Archaeologists","Autumn Semester","15"
"AAP61001 Archaeology in the Classical Mediterranean","Autumn Semester","15"
"AAP61003 Assemblage Analysis","Spring Semester","15"
"AAP61004 Applied Bioarchaeological Science","Spring Semester","15"
"AAP6107 Roman Italy and its Hinterland","Spring Semester","15"
"AAP6118 Dissertation (Cultural Heritage Management)","Academic year","45"
"AAP6137 Funerary Archaeology","Autumn Semester","15"
"AAP6139 The history of the human animal relationship","Autumn Semester","15"
"AAP6141 Landscapes in archaeology: methods & perspectives","Autumn Semester","15"
"AAP6142 Landscape Survey Project","Spring Semester","30"
"AAP6143 Later Neolithic & Bronze Age Britain & Ireland","Spring Semester","15"
"ACS317 State-Space Control Design","Autumn Semester","10"
"ACS318 System Identification","Autumn Semester","10"
"ACS321 Digital Signal Processing","Spring Semester","10"
"ACS322 Individual Project","Academic year","30"
"ACS323 Intelligent Systems","Autumn Semester","10"
"ACS327 Space Systems Engineering","Autumn Semester","10"
"ACS329 Robotics","Autumn Semester","10"
"ACS330 Group Project","Academic year","30"
"ACS336 Hardware-in-the-Loop & Rapid Control Prototyping","Spring Semester","10"
"ACS337 Robotic Systems","Spring Semester","10"
"ACS340 Biomechatronics","Spring Semester","10"
"ACS341 Machine Learning","Spring Semester","10"
"ACS342 Feedback Systems Design","Spring Semester","10"
"ACS395 Year in Industry","Academic year","120"
"ACS399 Study Abroad","Academic year","120"
"ACS402 Industrial training programme (ITP) in Avionics","Spring Semester","15"
"ACS495 Year in Industry","Academic year","120"
"APS11002 Ecosystems and Environment Field Course","Spring Semester","10"
"APS11003 Principles of Zoology","Autumn Semester","20"
"APS11004 Plant Science","Spring Semester","20"
"APS11006 Principles of Evolution","Spring Semester","20"
"APS11007 Principles of Ecology and Conservation","Spring Semester","20"
"BIE61006 Advanced Bioengineering Research Project","Academic year","45"
"BIE61007 Advanced Bioengineering Research Project","Academic year","45"
"BIE61008 Advanced Bioengineering Research Project","Academic year","45"
"BIE61009 Advanced Bioengineering Research Project","Academic year","45"
"BIE61010 Advanced Bioengineering Research Project","Academic year","45"
"BIE6412 Experimental Skills for Tissue Modelling","Spring Semester","15"
"BMS01001 Introduction to Scientific Writing in Bioscience","Spring Semester","20"
"BMS106 Pathobiology","Autumn Semester","10"
"BMS109 Introduction to Biomedical Science","Academic year","110"
"BMS110 Research Topics in Biomedicine","Spring Semester","10"
"BMS11002 Skills in Biomedical Science","Academic year","30"
"BMS11003 Introduction to Physiology with Pharmacology","Academic year","20"
"BMS11004 Introduction to Neuroscience","Spring Semester","20"
"BMS11005 Introductory Developmental, Stem Cell and Regenerative Biology","Autumn Semester","10"
"BMS21001 Core Concepts in Pharmacology and Physiology","Autumn Semester","10"
"BMS21002 Advanced Practical Physiology and Pharmacology","Autumn Semester","10"
"BMS21003 Advanced Cellular and Molecular Biology","Autumn Semester","10"
"BMS228 Introduction to Human Anatomy (Part A)","Autumn Semester","10"
"BMS239 Principles of Developmental Biology","Spring Semester","10"
"BMS242 Advanced concepts in molecular physiology","Academic year","80"
"BMS243 Developmental, Stem Cell and Regenerative Biology","Academic year","80"
"BMS244 Cardiovascular and Respiratory Physiology","Autumn Semester","10"
"BMS245 Physiology & Pharmacology of Cells","Spring Semester","10"
"BMS246 Introduction to Human Anatomy","Academic year","20"
"BMS247 Biology of Stem Cells, Ageing and Cancer","Spring Semester","10"
"CHM1006 Physical Principles in Chemistry","Academic year","10"
"CHM1007 Chemistry in a Sustainable Future","Academic year","10"
"CHM1008 Chemistry in the Biological World Around Us","Academic year","10"
"CHM1009 Chemistry in the Physical World Around Us","Academic year","10"
"CHM1010 Essential Mathematics for Chemists","Academic year","10"
"CHM1011 Fundamentals of Chemistry","Academic year","80"
"CHM1012 Mathematics for Chemists","Academic year","20"
"CHM2001 Enterprise and Employability","Academic year","10"
"CHM2002 Environmental, Analytical & Sustainable Chemistry","Academic year","20"
"CHM2003 Inorganic Chemistry: Structure, Bonding & Reactivity","Academic year","30"
"CHM2004 Physical Chemistry and Polymer Science","Academic year","30"
"CHM2005 Synthetic, Mechanistic and Biological Aspects of Organic Chemistry","Academic year","30"
"CHM3005 Organometallic, Solid State and Coordination Chemistry","Academic year","20"
"CHM3006 Chemistry in Space","Academic year","10"
"CHM3007 Chemistry Employability Skills and Biological and Medicinal Chemistry Projects","Academic year","30"
"CHM3008 Chemistry Employability Skills and Projects","Academic year","30"
"ARC221 Computer Aided Architectural Design","Academic year","10"
"ARC225 Architectural Design 3","Autumn Semester","30"
"ARC226 Architectural Design 4","Spring Semester","30"
"ARC237 Architectural Design (Landscape ) 3","Autumn Semester","30"
"ARC238 Architectural Design (Landscape) 4","Spring Semester","30"
"ARC275 Project Design 53","Autumn Semester","20"
"ARC303 Humanities 5","Autumn Semester","10"
"ARC307 Environment and Technology 5","Autumn Semester","10"
"ARC308 Environment and Technology 6","Spring Semester","10"
"ARC311 Thesis 1","Academic year","20"
"ARC312 Thesis 2","Academic year","20"
"ARC313 Thesis 3","Academic year","20"
"ARC314 Thesis 4","Academic year","20"
"ARC322 Special Study","Academic year","20"
"ARC325 Architectural Design 5","Academic year","30"
"ARC326 Architectural Design 6","Spring Semester","30"
"ARC327 Advanced Structures and Environment","Autumn Semester","10"
"ARC328 Management Practice Law","Autumn Semester","10"
"ARC337 Architectural Design (Landscape) 5","Academic year","30"
"ARC356 Architectural Design 6 (Dual Architecture & Engineering)","Spring Semester","20"
"ARC374 Conservation & Regeneration Principles and Approaches (Undergraduate)","Spring Semester","20"
"AAP6144 Quantitative methods in anthropology and archaeology","Spring Semester","15"
"AAP6146 Reinventing Archaeology","Autumn Semester","15"
"AAP6148 Investigating Ancient Environments","Autumn Semester","15"
"AAP6154 Human Evolution: Theory and Practice in Research","Autumn Semester","15"
"AAP6156 Dissertation (Journal Paper Style)","Academic year","60"
"AAP6157 Dissertation","Academic year","60"
"AAP6158 Work Placement","Academic year","60"
"AAP6219 Digital Cultural Heritage: Theory and Practice","Spring Semester","15"
"AAP637 Heritage, Place and Community","Spring Semester","15"
"AAP641 Research Design: Planning, Execution and Presentation","Spring Semester","15"
"AAP659 Archaeobotany","Autumn Semester","15"
"AAP661 Archaeozoology","Autumn Semester","15"
"AAP680 Biological Anthropology I","Autumn Semester","15"
"AAP681 Biological Anthropology II","Spring Semester","15"
"AAP683 Human Anatomy","Autumn Semester","15"
"AAP685 Human Osteology","Autumn Semester","15"
"AAP693 Evolutionary Anatomy","Spring Semester","15"
"CPE007 Advanced Level Chemistry","Autumn Semester","20"
"CPE130 Principles of Chemical Engineering 1","Autumn Semester","15"
"CPE140 Principles of Chemical Engineering 2","Spring Semester","15"
"CPE150 Chemical Principles","Autumn Semester","15"
"CPE160 Chemical Engineering Thermodynamics","Autumn Semester","15"
"CPE170 Fluid and Particle Mechanics","Spring Semester","15"
"CPE180 Heat Transfer","Spring Semester","15"
"CPE190 Engineering with Living Systems 1","Spring Semester","10"
"CPE1999 Skills for Employability - Level 1","Graduate Year","0"
"CPE230 Mass Transfer and Separation Processes","Autumn Semester","20"
"CPE240 Engineering with Living Systems 2","Autumn Semester","15"
"CPE250 Reaction Engineering 1","Spring Semester","15"
"CPE260 Experimental Investigation","Spring Semester","15"
"ACS6101 Foundations of Control Systems","Autumn Semester","30"
"ACS61010 Optimal Control","Spring Semester","15"
"ACS61011 Deep Learning","Spring Semester","15"
"ACS61012 Machine Vision","Spring Semester","15"
"ACS61013 Data Modelling and Machine Intelligence","Autumn Semester","15"
"ACS61015 Rapid Control Prototyping","Autumn Semester","15"
"ACS6106 Cybersecurity for control systems","Spring Semester","15"
"ACS6107 Control Research Project","Academic year","120"
"ACS6116 Advanced Control","Spring Semester","15"
"ACS6121 Mobile Robotics and Autonomous Systems","Spring Semester","15"
"ACS6124 Multisensor and Decision Systems","Spring Semester","15"
"ACS6126 Advanced Space Systems and Space Weather","Autumn Semester","15"
"ACS6127 Real-Time Embedded System","Autumn Semester","15"
"ACS6128 Optimisation and Signal Processing","Autumn Semester","15"
"ACS6129 Modern Control & System Identification","Autumn Semester","15"
"ACS6130 Industrial Placement","Academic year","120"
"ACS6131 Industrial Automation","Spring Semester","15"
"CDH6003 Dissertation","Graduate Year","60"
"CDH601 Introduction to Public Health","Autumn Semester","15"
"CDH604 Dental Public Health - Foundations and Theory","Autumn Semester","15"
"CDH605 Dental Public Health - Application and Critique","Spring Semester","15"
"CDH608 Principles of Clinical Orthodontics I","Graduate Year","15"
"CDH609 Principles of Clinical Orthodontics II","Academic year","30"
"CDH610 Orthodontic Case Studies","Academic year","30"
"CDH611 Orthodontic Dissertation","Graduate Year","60"
"CDH612 Orthodontic Clinical Practice","Academic year","0"
"CDH613 Principles of Clinical Paediatric Dentistry I","Academic year","15"
"CDH614 Principles of Clinical Paediatric Dentistry II","Academic year","30"
"CDH615 Paediatric Dentistry Case Studies","Academic year","15"
"APS11008 Climate Change and Sustainability","Autumn Semester","20"
"APS11009 Skills in Biology","Academic year","30"
"APS124 Ecosystems, Climate and Environmental Change","Spring Semester","10"
"APS126 Animal Behaviour","Autumn Semester","10"
"APS131 Ecological identification skills","Academic year","10"
"APS135 Skills for Biologists 1","Academic year","30"
"APS136 Animal Physiology, Reproduction and  Development","Spring Semester","10"
"APS137 How Plants Work: Physiology, Reproduction & Development","Spring Semester","10"
"APS138 Molecular and Cell Biology","Autumn Semester","10"
"APS139 Skills for Environmental Scientists","Academic year","20"
"APS206 Biotechnology and Food Security","Autumn Semester","10"
"APS209 Behavioural Ecology","Spring Semester","10"
"APS21005 Biological Field Skills","Academic year","10"
"APS216 Plant, Cell and Environment","Spring Semester","10"
"APS220 Evolutionary Biology","Autumn Semester","10"
"APS222 Animal and Plant Science Tutorials","Academic year","10"
"APS226 Animal Diversity Practicals","Autumn Semester","10"
"APS228 Environmental Biology Practicals","Spring Semester","10"
"APS229 Insect  Biology Practicals","Spring Semester","10"
"COM1001 Introduction to Software Engineering","Academic year","20"
"COM1002 Foundations of Computer Science","Academic year","20"
"COM1003 Java Programming","Academic year","20"
"COM1005 Machines and Intelligence","Academic year","20"
"COM1006 Devices and Networks","Academic year","20"
